year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Pupil Numbers,227,
2021,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Teacher Numbers (FTE),15.5,
2021,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Pupil Teacher Ratio,14.6,
2021,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Average Class,22.7,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Pupil Numbers,234,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Teacher Numbers (FTE),15.8,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Pupil Teacher Ratio,14.8,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,trend,Average Class,23.4,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,sex,Female,50-60%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,sex,Male,40-50%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P1,18.4%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P2,12.8%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P3,14.5%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P4,11.5%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P5,16.2%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P6,18.8%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,stage,P7,7.7%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,additional_support_needs,ASN,40-50%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,additional_support_needs,No ASN,50-60%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,english_additional_language,EAL,10-20%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,english_additional_language,No EAL,80-90%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,deprivation,SIMD Q1,20-30%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,deprivation,SIMD Q2,20-30%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,deprivation,SIMD Q4,40-50%,
2022,5139627,270,Highland,Cauldeen Primary School,Primary,deprivation,SIMD Q5,0-10%,
