year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,19,
2021,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),2.2,
2021,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,8.8,
2021,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,19,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,25,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,9.9,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,25,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,sex,Female,50-60%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,sex,Male,40-50%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P1,24%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P2,32%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P3,c,c
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P4,c,c
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P5,24%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P6,c,c
2022,5117828,270,Highland,Shieldaig Primary School,Primary,stage,P7,c,c
2022,5117828,270,Highland,Shieldaig Primary School,Primary,additional_support_needs,ASN,10-20%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,additional_support_needs,No ASN,80-90%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,deprivation,SIMD Q2,10-20%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,deprivation,SIMD Q3,80-90%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,deprivation,SIMD Q4,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,ethnicity,White UK,80-90%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,ethnicity,White Other,10-20%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,urban_rural,Rural,90+%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,urban_rural,Urban,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,gaelic,Taught in Gaelic,0-10%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,gaelic,Not Taught in Gaelic,90+%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,free_school_meals,FSM,90+%,
2022,5117828,270,Highland,Shieldaig Primary School,Primary,free_school_meals,No FSM,0-10%,
2020,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,14,
2020,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.7,
2020,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,8.3,
2020,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,14,
2019,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,9,
2019,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.3,
2019,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,6.8,
2019,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,9,
2018,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,9,
2018,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
2018,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,6.3,
2018,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,9,
2017,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,7,
2017,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
2017,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,4.9,
2017,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,7,
2016,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,10,
2016,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.3,
2016,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,7.7,
2016,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,10,
2015,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,11,
2015,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
2015,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,7.6,
2015,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,11,
2014,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,12,
2014,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
2014,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Teacher Ratio,8.3,
2014,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Average Class,12,
2013,5117828,270,Highland,Shieldaig Primary School,Primary,trend,Pupil Numbers,11,
