year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5145023,270,Highland,Abernethy Primary School,Primary,trend,Pupil Numbers,70,
2021,5145023,270,Highland,Abernethy Primary School,Primary,trend,Teacher Numbers (FTE),4.4,
2021,5145023,270,Highland,Abernethy Primary School,Primary,trend,Pupil Teacher Ratio,16.1,
2021,5145023,270,Highland,Abernethy Primary School,Primary,trend,Average Class,23.3,
2022,5145023,270,Highland,Abernethy Primary School,Primary,trend,Pupil Numbers,80,
2022,5145023,270,Highland,Abernethy Primary School,Primary,trend,Teacher Numbers (FTE),5.1,
2022,5145023,270,Highland,Abernethy Primary School,Primary,trend,Pupil Teacher Ratio,15.7,
2022,5145023,270,Highland,Abernethy Primary School,Primary,trend,Average Class,20,
2022,5145023,270,Highland,Abernethy Primary School,Primary,sex,Female,40-50%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,sex,Male,50-60%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P1,16.3%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P2,20%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P3,10%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P4,15%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P5,10%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P6,13.8%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,stage,P7,15%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,additional_support_needs,ASN,10-20%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,additional_support_needs,No ASN,80-90%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5145023,270,Highland,Abernethy Primary School,Primary,deprivation,SIMD Q2,0-10%,
