year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,105,
2021,5135834,270,Highland,Mallaig High School,Secondary,trend,Teacher Numbers (FTE),14.2,
2021,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Teacher Ratio,7.4,
2021,5135834,270,Highland,Mallaig High School,Secondary,trend,Average Class,0,
2022,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,100,
2022,5135834,270,Highland,Mallaig High School,Secondary,trend,Teacher Numbers (FTE),13.3,
2022,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Teacher Ratio,7.5,
2022,5135834,270,Highland,Mallaig High School,Secondary,trend,Average Class,0,
2022,5135834,270,Highland,Mallaig High School,Secondary,sex,Female,50-60%,
2022,5135834,270,Highland,Mallaig High School,Secondary,sex,Male,40-50%,
2022,5135834,270,Highland,Mallaig High School,Secondary,stage,S1,11%,
2022,5135834,270,Highland,Mallaig High School,Secondary,stage,S2,25%,
2022,5135834,270,Highland,Mallaig High School,Secondary,stage,S3,17%,
2022,5135834,270,Highland,Mallaig High School,Secondary,stage,S4,15%,
2022,5135834,270,Highland,Mallaig High School,Secondary,stage,S5,17%,
2022,5135834,270,Highland,Mallaig High School,Secondary,stage,S6,15%,
2022,5135834,270,Highland,Mallaig High School,Secondary,additional_support_needs,ASN,40-50%,
2022,5135834,270,Highland,Mallaig High School,Secondary,additional_support_needs,No ASN,50-60%,
2022,5135834,270,Highland,Mallaig High School,Secondary,english_additional_language,EAL,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,english_additional_language,No EAL,90+%,
2022,5135834,270,Highland,Mallaig High School,Secondary,deprivation,SIMD Unknown,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,deprivation,SIMD Q1,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,deprivation,SIMD Q2,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,deprivation,SIMD Q3,60-70%,
2022,5135834,270,Highland,Mallaig High School,Secondary,deprivation,SIMD Q4,40-50%,
2022,5135834,270,Highland,Mallaig High School,Secondary,deprivation,SIMD Q5,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,ethnicity,Ethnicity Not Known,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,ethnicity,Ethnic Minority,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,ethnicity,White UK,90+%,
2022,5135834,270,Highland,Mallaig High School,Secondary,ethnicity,White Other,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,urban_rural,Urban Rural Not Known,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,urban_rural,Rural,90+%,
2022,5135834,270,Highland,Mallaig High School,Secondary,urban_rural,Small Town,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,urban_rural,Urban,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,gaelic,Taught in Gaelic,50-60%,
2022,5135834,270,Highland,Mallaig High School,Secondary,gaelic,Not Taught in Gaelic,40-50%,
2022,5135834,270,Highland,Mallaig High School,Secondary,free_school_meals,FSM,0-10%,
2022,5135834,270,Highland,Mallaig High School,Secondary,free_school_meals,No FSM,90+%,
2020,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,109,
2020,5135834,270,Highland,Mallaig High School,Secondary,trend,Teacher Numbers (FTE),13.1,
2020,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Teacher Ratio,8.3,
2020,5135834,270,Highland,Mallaig High School,Secondary,trend,Average Class,0,
2018,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,123,
2018,5135834,270,Highland,Mallaig High School,Secondary,trend,Teacher Numbers (FTE),14.6,
2018,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Teacher Ratio,8.4,
2018,5135834,270,Highland,Mallaig High School,Secondary,trend,Average Class,0,
2017,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,124,
2017,5135834,270,Highland,Mallaig High School,Secondary,trend,Teacher Numbers (FTE),15,
2017,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Teacher Ratio,8.3,
2017,5135834,270,Highland,Mallaig High School,Secondary,trend,Average Class,0,
2016,5135834,270,Highland,Mallaig High School,Secondary,trend,Pupil Numbers,126,
