year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Numbers,649,
2021,5153131,270,Highland,Nairn Academy,Secondary,trend,Teacher Numbers (FTE),57.3,
2021,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Teacher Ratio,11.3,
2021,5153131,270,Highland,Nairn Academy,Secondary,trend,Average Class,0,
2022,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Numbers,660,
2022,5153131,270,Highland,Nairn Academy,Secondary,trend,Teacher Numbers (FTE),51.7,
2022,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Teacher Ratio,12.8,
2022,5153131,270,Highland,Nairn Academy,Secondary,trend,Average Class,0,
2022,5153131,270,Highland,Nairn Academy,Secondary,sex,Female,50-60%,
2022,5153131,270,Highland,Nairn Academy,Secondary,sex,Male,40-50%,
2022,5153131,270,Highland,Nairn Academy,Secondary,stage,S1,20.9%,
2022,5153131,270,Highland,Nairn Academy,Secondary,stage,S2,17.6%,
2022,5153131,270,Highland,Nairn Academy,Secondary,stage,S3,19.4%,
2022,5153131,270,Highland,Nairn Academy,Secondary,stage,S4,17.7%,
2022,5153131,270,Highland,Nairn Academy,Secondary,stage,S5,14.4%,
2022,5153131,270,Highland,Nairn Academy,Secondary,stage,S6,10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,additional_support_needs,ASN,50-60%,
2022,5153131,270,Highland,Nairn Academy,Secondary,additional_support_needs,No ASN,40-50%,
2022,5153131,270,Highland,Nairn Academy,Secondary,english_additional_language,EAL,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,english_additional_language,No EAL,90+%,
2022,5153131,270,Highland,Nairn Academy,Secondary,deprivation,SIMD Unknown,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,deprivation,SIMD Q1,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,deprivation,SIMD Q2,10-20%,
2022,5153131,270,Highland,Nairn Academy,Secondary,deprivation,SIMD Q3,30-40%,
2022,5153131,270,Highland,Nairn Academy,Secondary,deprivation,SIMD Q4,40-50%,
2022,5153131,270,Highland,Nairn Academy,Secondary,deprivation,SIMD Q5,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,ethnicity,Ethnicity Not Known,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,ethnicity,Ethnic Minority,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,ethnicity,White UK,90+%,
2022,5153131,270,Highland,Nairn Academy,Secondary,ethnicity,White Other,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,urban_rural,Urban Rural Not Known,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,urban_rural,Rural,30-40%,
2022,5153131,270,Highland,Nairn Academy,Secondary,urban_rural,Small Town,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,urban_rural,Urban,60-70%,
2022,5153131,270,Highland,Nairn Academy,Secondary,gaelic,Taught in Gaelic,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,gaelic,Not Taught in Gaelic,90+%,
2022,5153131,270,Highland,Nairn Academy,Secondary,free_school_meals,FSM,0-10%,
2022,5153131,270,Highland,Nairn Academy,Secondary,free_school_meals,No FSM,90+%,
2020,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Numbers,651,
2020,5153131,270,Highland,Nairn Academy,Secondary,trend,Teacher Numbers (FTE),51.6,
2020,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Teacher Ratio,12.6,
2020,5153131,270,Highland,Nairn Academy,Secondary,trend,Average Class,0,
2018,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Numbers,645,
2018,5153131,270,Highland,Nairn Academy,Secondary,trend,Teacher Numbers (FTE),57.7,
2018,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Teacher Ratio,11.2,
2018,5153131,270,Highland,Nairn Academy,Secondary,trend,Average Class,0,
2017,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Numbers,682,
2017,5153131,270,Highland,Nairn Academy,Secondary,trend,Teacher Numbers (FTE),56.1,
2017,5153131,270,Highland,Nairn Academy,Secondary,trend,Pupil Teacher Ratio,12.2,
